locus_tag,gene,srm_ response,concentration,peptides_per_protein
Rv0474,,2195154,3,3
Rv1695,ppnK,2188797,3,4
Rv0798c,cfp29,2187213,3,3
Rv3910,,2182770,3,4
Rv0981,mprA,2182050,3,3
Rv0034,,2174344,3,2
Rv1245c,,2162963,3,6
Rv1784,eccCb5,2162269,3,3
Rv2715,,2156311,3,3
Rv1699,pyrG,2146459,3,3
Rv1421,,2144052,3,3
Rv2696c,,2143155,3,4
Rv0200,,2140673,3,3
Rv3010c,pfkA,2136131,3,3
Rv0296c,,2131778,3,3
Rv2175c,,2125446,3,3
Rv1267c,embR,2115426,3,3
Rv0511,hemD,2110524,3,4
Rv2692,ceoC,2109187,3,3
Rv0068,,2097722,3,4
Rv3710,leuA,2087151,3,3
Rv2930,fadD26,2084614,3,6
Rv2449c,,2082009,3,3
Rv0444c,rskA,2079790,3,2
Rv1409,ribG,2078933,3,3
Rv1058,fadD14,2075659,3,3
Rv1411c,lprG,2069908,3,3
Rv2243,fabD,2067105,3,4
Rv1507c,,2058960,3,4
Rv0701,rplC,2054535,3,2
Rv0042c,,2050626,3,3
Rv2002,fabG3,2049884,3,3
Rv3917c,parB,2048349,3,4
Rv2982c,gpdA2,2047747,3,2
Rv3775,lipE,2043489,3,2
Rv0813c,,2036586,3,5
Rv1821,secA2,2033958,3,3
Rv3614c,espD,2029647,3,2
Rv2112c,dop,2019508,3,4
Rv1383,carA,2017566,3,3
Rv0423c,thiC,2011894,3,3
Rv3257c,pmmA,2008544,3,2
Rv2172c,,2008119,3,3
Rv1458c,,2002667,3,2
Rv0361,,2002637,3,3
Rv3401,,2000776,3,3
Rv2564,glnQ,1996348,3,4
Rv2465c,rpiB,1995030,3,5
Rv3603c,,1991426,3,3
Rv1079,metB,1991369,3,2
Rv1683,,1988963,3,3
Rv0072,,1988591,3,6
Rv3767c,,1987424,3,2
Rv0338c,,1983789,3,5
Rv2873,mpt83,1980195,3,2
Rv0780,purC,1975535,3,3
Rv2225,panB,1974302,3,2
Rv3858c,gltD,1967530,3,6
Rv0019c,fhaB,1962772,3,3
Rv2536,,1960870,3,3
